pair_id,variant,tag,sql,plan,latency_ms
8,B,join_vs_subquery,"SELECT o.order_id, (SELECT p.price FROM products p WHERE p.product_id = o.product_id) AS price FROM orders o WHERE (SELECT p.category FROM products p WHERE p.product_id = o.product_id) = 'electronics' AND o.quantity >= 2;",SCAN o | CORRELATED SCALAR SUBQUERY 2 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?),15.175
9,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'IN';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.027
9,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'IN';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.027
10,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'DE' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.745
10,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'DE' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.742
11,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'JP' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.717
11,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'JP' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.656
12,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'IN';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.025
12,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'IN';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.028
13,A,join_vs_subquery,"SELECT o.order_id, p.price FROM orders o JOIN products p ON p.product_id = o.product_id WHERE p.category = 'electronics' AND o.quantity >= 2;",SEARCH p USING INDEX idx_products_category (category=?) | SEARCH o USING INDEX idx_orders_product (product_id=?),7.518
13,B,join_vs_subquery,"SELECT o.order_id, (SELECT p.price FROM products p WHERE p.product_id = o.product_id) AS price FROM orders o WHERE (SELECT p.category FROM products p WHERE p.product_id = o.product_id) = 'electronics' AND o.quantity >= 2;",SCAN o | CORRELATED SCALAR SUBQUERY 2 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?),14.673
14,A,join_vs_subquery,"SELECT o.order_id, p.price FROM orders o JOIN products p ON p.product_id = o.product_id WHERE p.category = 'fashion' AND o.quantity >= 2;",SEARCH p USING INDEX idx_products_category (category=?) | SEARCH o USING INDEX idx_orders_product (product_id=?),8.631
14,B,join_vs_subquery,"SELECT o.order_id, (SELECT p.price FROM products p WHERE p.product_id = o.product_id) AS price FROM orders o WHERE (SELECT p.category FROM products p WHERE p.product_id = o.product_id) = 'fashion' AND o.quantity >= 2;",SCAN o | CORRELATED SCALAR SUBQUERY 2 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?),15.275
15,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'GB';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.028
15,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'GB';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.029
16,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'JP' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.803
16,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'JP' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.715
17,A,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'returned' ORDER BY o.order_date DESC LIMIT 200;",SCAN o USING INDEX idx_orders_date,1.627
17,B,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'returned' ORDER BY o.order_id DESC LIMIT 200;",SCAN o,0.139
18,A,join_vs_subquery,"SELECT o.order_id, p.price FROM orders o JOIN products p ON p.product_id = o.product_id WHERE p.category = 'electronics' AND o.quantity >= 2;",SEARCH p USING INDEX idx_products_category (category=?) | SEARCH o USING INDEX idx_orders_product (product_id=?),7.852
18,B,join_vs_subquery,"SELECT o.order_id, (SELECT p.price FROM products p WHERE p.product_id = o.product_id) AS price FROM orders o WHERE (SELECT p.category FROM products p WHERE p.product_id = o.product_id) = 'electronics' AND o.quantity >= 2;",SCAN o | CORRELATED SCALAR SUBQUERY 2 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?),15.156
19,A,join_vs_subquery,"SELECT o.order_id, p.price FROM orders o JOIN products p ON p.product_id = o.product_id WHERE p.category = 'fashion' AND o.quantity >= 2;",SEARCH p USING INDEX idx_products_category (category=?) | SEARCH o USING INDEX idx_orders_product (product_id=?),8.833
19,B,join_vs_subquery,"SELECT o.order_id, (SELECT p.price FROM products p WHERE p.product_id = o.product_id) AS price FROM orders o WHERE (SELECT p.category FROM products p WHERE p.product_id = o.product_id) = 'fashion' AND o.quantity >= 2;",SCAN o | CORRELATED SCALAR SUBQUERY 2 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?),15.504
20,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'BR' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.748
20,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'BR' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.865
21,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'JP' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.712
21,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'JP' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.705
22,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'JP' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.37
22,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'JP' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.615
23,A,join_vs_subquery,"SELECT o.order_id, p.price FROM orders o JOIN products p ON p.product_id = o.product_id WHERE p.category = 'home' AND o.quantity >= 2;",SEARCH p USING INDEX idx_products_category (category=?) | SEARCH o USING INDEX idx_orders_product (product_id=?),8.715
23,B,join_vs_subquery,"SELECT o.order_id, (SELECT p.price FROM products p WHERE p.product_id = o.product_id) AS price FROM orders o WHERE (SELECT p.category FROM products p WHERE p.product_id = o.product_id) = 'home' AND o.quantity >= 2;",SCAN o | CORRELATED SCALAR SUBQUERY 2 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?),15.279
24,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'SG';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.03
24,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'SG';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.03
25,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'JP';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.029
25,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'JP';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.027
26,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'SG';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.029
26,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'SG';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.029
27,A,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'shipped' ORDER BY o.order_date DESC LIMIT 200;",SCAN o USING INDEX idx_orders_date,0.327
27,B,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'shipped' ORDER BY o.order_id DESC LIMIT 200;",SCAN o,0.06
28,A,join_vs_subquery,"SELECT o.order_id, p.price FROM orders o JOIN products p ON p.product_id = o.product_id WHERE p.category = 'toys' AND o.quantity >= 2;",SEARCH p USING INDEX idx_products_category (category=?) | SEARCH o USING INDEX idx_orders_product (product_id=?),8.549
28,B,join_vs_subquery,"SELECT o.order_id, (SELECT p.price FROM products p WHERE p.product_id = o.product_id) AS price FROM orders o WHERE (SELECT p.category FROM products p WHERE p.product_id = o.product_id) = 'toys' AND o.quantity >= 2;",SCAN o | CORRELATED SCALAR SUBQUERY 2 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?),15.247
29,A,join_vs_subquery,"SELECT o.order_id, p.price FROM orders o JOIN products p ON p.product_id = o.product_id WHERE p.category = 'electronics' AND o.quantity >= 2;",SEARCH p USING INDEX idx_products_category (category=?) | SEARCH o USING INDEX idx_orders_product (product_id=?),7.541
29,B,join_vs_subquery,"SELECT o.order_id, (SELECT p.price FROM products p WHERE p.product_id = o.product_id) AS price FROM orders o WHERE (SELECT p.category FROM products p WHERE p.product_id = o.product_id) = 'electronics' AND o.quantity >= 2;",SCAN o | CORRELATED SCALAR SUBQUERY 2 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?),14.78
30,A,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'returned' ORDER BY o.order_date DESC LIMIT 200;",SCAN o USING INDEX idx_orders_date,1.59
30,B,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'returned' ORDER BY o.order_id DESC LIMIT 200;",SCAN o,0.139
31,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'SG';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.029
31,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'SG';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.027
32,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'FR';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.028
32,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'FR';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.03
33,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'US' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.76
33,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'US' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.875
34,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'GB';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.028
34,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'GB';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.031
35,A,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'shipped' ORDER BY o.order_date DESC LIMIT 200;",SCAN o USING INDEX idx_orders_date,0.32
35,B,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'shipped' ORDER BY o.order_id DESC LIMIT 200;",SCAN o,0.06
36,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'AU';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.029
36,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'AU';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.028
37,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'US' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.617
37,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'US' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.881
38,A,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'delivered' ORDER BY o.order_date DESC LIMIT 200;",SCAN o USING INDEX idx_orders_date,0.341
38,B,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'delivered' ORDER BY o.order_id DESC LIMIT 200;",SCAN o,0.057
39,A,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'returned' ORDER BY o.order_date DESC LIMIT 200;",SCAN o USING INDEX idx_orders_date,1.591
39,B,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'returned' ORDER BY o.order_id DESC LIMIT 200;",SCAN o,0.139
40,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'JP';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.028
40,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'JP';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.03
41,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'US';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.026
41,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'US';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.031
42,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'FR' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.686
42,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'FR' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.806
43,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'US';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.026
43,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'US';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.03
44,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'FR' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.746
44,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'FR' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.815
45,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'FR';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.029
45,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'FR';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.028
46,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'SG';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.029
46,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'SG';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.029
47,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'CA' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.666
47,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'CA' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.781
48,A,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'shipped' ORDER BY o.order_date DESC LIMIT 200;",SCAN o USING INDEX idx_orders_date,0.327
48,B,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'shipped' ORDER BY o.order_id DESC LIMIT 200;",SCAN o,0.055
49,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'CA' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.64
49,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'CA' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.731
50,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'DE' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.933
50,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'DE' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),2.871
51,A,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'shipped' ORDER BY o.order_date DESC LIMIT 200;",SCAN o USING INDEX idx_orders_date,0.344
51,B,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'shipped' ORDER BY o.order_id DESC LIMIT 200;",SCAN o,0.06
52,A,join_vs_subquery,"SELECT o.order_id, p.price FROM orders o JOIN products p ON p.product_id = o.product_id WHERE p.category = 'home' AND o.quantity >= 2;",SEARCH p USING INDEX idx_products_category (category=?) | SEARCH o USING INDEX idx_orders_product (product_id=?),9.364
52,B,join_vs_subquery,"SELECT o.order_id, (SELECT p.price FROM products p WHERE p.product_id = o.product_id) AS price FROM orders o WHERE (SELECT p.category FROM products p WHERE p.product_id = o.product_id) = 'home' AND o.quantity >= 2;",SCAN o | CORRELATED SCALAR SUBQUERY 2 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH p USING INTEGER PRIMARY KEY (rowid=?),15.988
53,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'CA';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.029
53,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'CA';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.032
54,A,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'GB' AND u.user_id IN (SELECT o.user_id FROM orders o WHERE o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=? AND rowid=?) | LIST SUBQUERY 1 | SCAN o | CREATE BLOOM FILTER,9.967
54,B,in_vs_exists,SELECT u.user_id FROM users u WHERE u.country = 'GB' AND EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.user_id AND o.status='delivered');,SEARCH u USING COVERING INDEX idx_users_country (country=?) | CORRELATED SCALAR SUBQUERY 1 | SEARCH o USING INDEX idx_orders_user (user_id=?),3.015
55,A,count_star_vs_one,SELECT COUNT(*) AS c FROM users u WHERE u.country = 'AU';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.027
55,B,count_star_vs_one,SELECT COUNT(1) AS c FROM users u WHERE u.country = 'AU';,SEARCH u USING COVERING INDEX idx_users_country (country=?),0.032
56,A,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'shipped' ORDER BY o.order_date DESC LIMIT 200;",SCAN o USING INDEX idx_orders_date,0.334
56,B,orderby_variant,"SELECT o.order_id, o.order_date FROM orders o WHERE o.status = 'shipped' ORDER BY o.order_id DESC LIMIT 200;",SCAN o,0.062
